Date;Price;Open;High;Low;Vol.;Change %
2020-03-02 00:00:00;42,084;44,4;45,3;38,05;127360000;-0,0235
2020-03-09 00:00:00;39,045;39,7;40,27;37,62;67380000;-0,0219
2020-03-16 00:00:00;36,446;35,09;40,7;31,74;140040000;0,0126
2020-03-23 00:00:00;33,416;34,52;35,85;31,23;105660000;-0,0227
2020-03-30 00:00:00;35,75;34,17;37,06;34,05;108310000;0,0106
2020-04-06 00:00:00;38,576;36,48;40,26;36,39;110900000;0,0517
2020-04-13 00:00:00;39,67;40;40,57;38,65;51400000;-0,0128
2020-04-20 00:00:00;38,92;39,3;40,15;37,81;57690000;0,0152
2020-04-27 00:00:00;39,75;38,9;40,88;38,26;58220000;0,0404
2020-05-04 00:00:00;40,4475;40,6;41,98;39,02;80580000;-0,0186
2020-05-11 00:00:00;38,8075;39,7;40,05;37,85;49090000;-0,0104
2020-05-18 00:00:00;37,484;38,16;38,26;36,72;61580000;0,0224
2020-05-25 00:00:00;38,38;38;39,8;37,23;52080000;0,0291
2020-06-01 00:00:00;40,48;39,66;41,88;38,5;101960000;0,0138
2020-06-08 00:00:00;42,44;41,01;43,25;40,95;51770000;0,0114
2020-06-15 00:00:00;41,76;42,76;43,83;39,96;62700000;-0,0129
2020-06-22 00:00:00;39,608;39,15;41,02;38,9;76100000;-0,0114
2020-06-29 00:00:00;37,9075;39,57;39,72;37,16;70230000;-0,0135
2020-07-06 00:00:00;37,775;37,35;38,96;36,99;69300000;0,0161
2020-07-13 00:00:00;38,286;38,69;38,94;37,67;62980000;-0,0251
2020-07-20 00:00:00;38,46;37,75;39,17;37,31;65720000;0,0052
2020-07-27 00:00:00;39,008;38,47;39,83;38,22;76550000;-0,0009
2020-08-03 00:00:00;39,86;39,21;40,44;38,64;91250000;-0,005
2020-08-10 00:00:00;39,886;39,9;40,46;39,25;61340000;-0,002
2020-08-17 00:00:00;39,898;39,65;40,99;39,19;83540000;0,0021
2020-08-24 00:00:00;39,844;40;40,79;39,31;62530000;0,0029
2020-08-31 00:00:00;38,898;39,74;39,95;37,55;64010000;-0,0194
2020-09-07 00:00:00;37,42;37,99;38,38;36,66;86730000;-0,0071
2020-09-14 00:00:00;37,376;36,99;38,69;36,15;119150000;0,0318
2020-09-21 00:00:00;39,22;38,7;39,97;38,24;106480000;-0,0025
2020-09-28 00:00:00;38,72;38,74;40,04;37,6;124770000;0,0143
2020-10-05 00:00:00;38,372;38,91;39,35;37,28;80840000;-0,0179
2020-10-12 00:00:00;36,49;37,66;38,05;35,63;117250000;0,0063
2020-10-19 00:00:00;35,08;36,07;36,35;34,53;97790000;-0,0016
2020-10-26 00:00:00;36,692;34,94;37,6;34,83;124350000;-0,0144
2020-11-02 00:00:00;36,576;36,83;38,27;35,3;144260000;0,0164
2020-11-09 00:00:00;38,9325;37,8;39,71;37,8;178310000;0,0038
2020-11-16 00:00:00;41,146;39,2;43,08;38,13;263480000;0,0322
2020-11-23 00:00:00;42,038;43;43,46;41,47;121990000;0,0034
2020-11-30 00:00:00;42,728;41,92;44,07;41,07;381930000;0,0147
2020-12-07 00:00:00;45,124;43,5;47,8;42,51;299480000;0,0592
2020-12-14 00:00:00;48,476;47,52;51,88;46,1;260200000;0,0434
2020-12-21 00:00:00;52,446;50,7;53,77;50,22;226910000;-0,0099
2020-12-28 00:00:00;56,174;51,49;59,09;51,26;204130000;0,0084
2021-01-04 00:00:00;56,56;58,29;58,76;55,02;150210000;0,0196
2021-01-11 00:00:00;57,3425;57,15;58,35;56,35;118380000;0,0039
2021-01-18 00:00:00;56,512;57,78;58,21;53,82;291160000;0,0108
2021-01-25 00:00:00;56,068;57,01;57,69;53,81;175490000;-0,0079
2021-02-01 00:00:00;53,016;54,26;54,71;50,88;216190000;0,0327
2021-02-08 00:00:00;52,792;53,7;54,12;51,36;137090000;0,0022
2021-02-15 00:00:00;51,8;52,35;53,13;49,14;116330000;-0,0052
2021-02-22 00:00:00;52,13;52;53,66;49,9;129450000;0,0151
2021-03-01 00:00:00;53,735;52,92;55,19;51,54;176410000;0,0165
2021-03-08 00:00:00;55,0425;55;56,66;53,45;126760000;0,0048
2021-03-15 00:00:00;54,698;54,74;56,4;52,6;135460000;0,0019
2021-03-22 00:00:00;54,294;55,79;55,79;53,17;129070000;-0,0114
2021-03-29 00:00:00;54,784;53,65;58,13;52,8;146660000;0,0281
2021-04-05 00:00:00;59,758;57,51;61,99;57,5;183350000;0,0075
2021-04-12 00:00:00;62,222;60,17;65;58,94;191950000;0,0453
2021-04-19 00:00:00;66,594;65,04;71,38;63,66;234180000;-0,0021
2021-04-26 00:00:00;68,872;68,78;71,88;66,72;212110000;-0,0154
